inst_id,name
001066,University of Arizona
001083,Arizona State University
001312,California Institute of Technology
001313,University of California-Berkeley
001314,University of California-Davis
001315,University of California-Irvine
001316,University of California-Los Angeles
001317,University of California-San Diego
001320,University of California-Santa Barbara
001321,University of California-Santa Cruz
001319,University of Southern California
003670,Stanford University
001564,University of Colorado Boulder
001426,Yale University
001429,University of Connecticut
001428,University of Delaware
003638,Georgetown University
001445,George Washington University
001535,University of Florida
001554,Georgia Institute of Technology
001558,Emory University
001598,University of Hawaii at Manoa
001775,University of Illinois Urbana-Champaign
001774,Northwestern University
001809,University of Iowa
001814,Iowa State University
001948,University of Kansas
001989,Tulane University
002073,Johns Hopkins University
002093,University of Maryland-College Park
002152,Boston University
002155,Harvard University
002178,Massachusetts Institute of Technology
002199,Brandeis University
002325,University of Michigan-Ann Arbor
002328,Michigan State University
002357,University of Minnesota-Twin Cities
002516,Washington University in St. Louis
002532,University of Missouri-Columbia
002565,Rutgers University-New Brunswick
002759,University of Buffalo
002785,Columbia University in the City of New York
002798,Cornell University
002831,New York University
002837,University of Rochester
002920,Duke University
002974,University of North Carolina at Chapel Hill
003078,Case Western Reserve University
003090,Ohio State University
003100,University of Oregon
003128,University of Pennsylvania
003129,Carnegie Mellon University
003378,University of Pittsburgh-Pittsburgh Campus
003425,Brown University
003448,Vanderbilt University
003530,Rice University
003658,University of Texas at Austin
003652,Texas A&M University
003671,University of Utah
003754,University of Virginia
003767,University of Washington-Seattle Campus
003895,University of Wisconsin-Madison
003461,Indiana University-Bloomington
003798,Purdue University-Main Campus
003722,University of Kansas
003862,Stony Brook University
003897,University of Colorado Boulder
